Fecha,Precio
2024-07-08,4093.72
2024-07-05,4096.09
2024-07-03,4130.03
2024-07-02,4148.04
2024-06-28,4158.1
2024-06-27,4133.61
2024-06-26,4093.66
2024-06-25,4104.38
2024-06-24,4143.72
2024-06-21,4175.96
2024-06-20,4101.87
2024-06-18,4144.63
2024-06-17,4151.55
2024-06-14,4107.52
2024-06-13,4023.26
2024-06-12,3960.83
2024-06-11,3944.14
2024-06-07,3938.53
2024-06-06,3927.91
2024-06-05,3909.65
2024-06-04,3860.92
2024-05-31,3874.32
2024-05-30,3867.02
2024-05-29,3853.09
2024-05-28,3878.07
2024-05-24,3837.58
2024-05-23,3829.59
2024-05-22,3814.94
2024-05-21,3822.39
2024-05-20,3832.26
2024-05-17,3828.98
2024-05-16,3825.42
2024-05-15,3861.82
2024-05-14,3888.21
2024-05-10,3900.38
2024-05-09,3902.63
2024-05-08,3884.84
2024-05-07,3894.23
2024-05-06,3895.41
2024-05-03,3898.62
2024-05-02,3899.07
2024-04-30,3873.44
2024-04-29,3926.02
2024-04-26,3964.59
2024-04-25,3935.65
2024-04-24,3910.01
2024-04-23,3924.82
2024-04-22,3937.13
2024-04-19,3918.23
2024-04-18,3901.94
2024-04-17,3938.11
2024-04-16,3889.58
2024-04-15,3864.97
2024-04-12,3820.1
2024-04-11,3815.44
2024-04-10,3763.43
2024-04-09,3768.8
2024-04-08,3764.23
2024-04-05,3775.37
2024-04-04,3812.13
2024-04-03,3845.22
2024-04-02,3863.05
2024-04-01,3842.3
2024-03-27,3865.97
2024-03-26,3901.51
2024-03-22,3888.02
2024-03-21,3886.94
2024-03-20,3894.37
2024-03-19,3880.59
2024-03-18,3884.64
2024-03-15,3899.39
2024-03-14,3908.02
2024-03-13,3919.86
2024-03-12,3907.81
2024-03-11,3905.45
2024-03-08,3920.79
2024-03-07,3932.55
2024-03-06,3945.32
2024-03-05,3948.67
2024-03-04,3934.82
2024-03-01,3931.31
2024-02-29,3933.56
2024-02-28,3935.59
2024-02-27,3963.08
2024-02-26,3949.36
2024-02-23,3935.64
2024-02-22,3930.26
2024-02-21,3912.97
2024-02-20,3917.84
2024-02-16,3909.89
2024-02-15,3916.61
2024-02-14,3929
2024-02-13,3915.28
2024-02-12,3926.08
2024-02-09,3954.68
2024-02-08,3962.23
2024-02-07,3950.57
2024-02-06,3975.74
2024-02-05,3928.11
2024-02-02,3889.05
2024-02-01,3915.56
2024-01-31,3925.6
2024-01-30,3918.93
2024-01-29,3925.26
2024-01-26,3932.96
2024-01-25,3929.95
2024-01-24,3934.62
2024-01-23,3904.49
2024-01-22,3916.39
2024-01-19,3939.89
2024-01-18,3969.5
2024-01-17,3940.85
2024-01-16,3901.38
2024-01-12,3929.79
2024-01-11,3946.39
2024-01-10,3934.13
2024-01-09,3912.93
2024-01-05,3927.64
2024-01-04,3914.6
2024-01-03,3895.53
2024-01-02,3822.05